size,num_locks,threads,bench,throughput
8192,2000,16,pessimistic_batch_1,1.467078
8192,2000,1,pessimistic_batch_32,0.1583424
8192,2000,2,pessimistic_batch_32,0.3158048
8192,2000,4,pessimistic_batch_32,0.6154688
8192,2000,8,pessimistic_batch_32,1.1549728000000001
8192,2000,16,pessimistic_batch_32,1.4604256
8192,2000,1,broken_batch_1,0.09532260000000001
8192,2000,2,broken_batch_1,0.1900025
8192,2000,4,broken_batch_1,0.3778575
8192,2000,8,broken_batch_1,0.7055776
8192,2000,16,broken_batch_1,1.1523715
8192,2000,1,broken_batch_32,0.8028512
8192,2000,2,broken_batch_32,1.1042592
8192,2000,4,broken_batch_32,1.4273248
8192,2000,8,broken_batch_32,1.4252032
8192,2000,16,broken_batch_32,1.4728832
8192,2000,1,rc_batch_32,0.9032992
8192,2000,2,rc_batch_32,1.1517792
8192,2000,4,rc_batch_32,1.3069248
8192,2000,8,rc_batch_32,1.3871103999999999
8192,2000,16,rc_batch_32,1.431264
8192,2000,1,rcopt_batch_32,1.0261856
8192,2000,2,rcopt_batch_32,1.2733504
8192,2000,4,rcopt_batch_32,1.3569888
8192,2000,8,rcopt_batch_32,1.4134208000000001
8192,2000,16,rcopt_batch_32,1.4711391999999999
8192,2000,1,farm_fixed_nomemcpy_batch_1,0.1485429
8192,2000,2,farm_fixed_nomemcpy_batch_1,0.29614009999999996
8192,2000,4,farm_fixed_nomemcpy_batch_1,0.58864
8192,2000,8,farm_fixed_nomemcpy_batch_1,1.1375802
8192,2000,16,farm_fixed_nomemcpy_batch_1,1.4987385
8192,2000,1,farm_fixed_nomemcpy_batch_32,0.8070688
8192,2000,2,farm_fixed_nomemcpy_batch_32,1.4661952
8192,2000,4,farm_fixed_nomemcpy_batch_32,1.4901888
8192,2000,8,farm_fixed_nomemcpy_batch_32,1.4902816
8192,2000,16,farm_fixed_nomemcpy_batch_32,1.4903552
8192,2000,1,farm_fixed_memcpy_batch_1,0.1418003
8192,2000,2,farm_fixed_memcpy_batch_1,0.25626920000000003
8192,2000,4,farm_fixed_memcpy_batch_1,0.5159119
8192,2000,8,farm_fixed_memcpy_batch_1,1.0163993
8192,2000,16,farm_fixed_memcpy_batch_1,1.2713807
8192,2000,1,farm_fixed_memcpy_batch_32,0.6545984
8192,2000,2,farm_fixed_memcpy_batch_32,1.230496
8192,2000,4,farm_fixed_memcpy_batch_32,0.7764512
8192,2000,8,farm_fixed_memcpy_batch_32,1.2201248
8192,2000,16,farm_fixed_memcpy_batch_32,1.3009568
